Date : 2022-07-07 17:45:01
Directory : c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib
Total : 218 files,  27428 codes, 2108 comments, 3206 blanks, all 32742 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\core\notifiers\out.dart                                                      | Dart     |         64 |          3 |         15 |         82 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\core\services\code_highlighter.dart                                          | Dart     |        317 |         18 |         52 |        387 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\core\services\logs.dart                                                      | Dart     |         88 |          6 |         11 |        105 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\main.dart                                                                    | Dart     |        310 |         17 |         41 |        368 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\utils\app_theme.dart                                                    | Dart     |         74 |          1 |          5 |         80 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\utils\bin\project_pre_configs\firebase.dart                             | Dart     |        176 |         73 |         40 |        289 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\utils\bin\project_pre_configs\response.dart                             | Dart     |          8 |          0 |          2 |         10 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\utils\bin\tools\adb.bin.dart                                            | Dart     |         63 |         19 |         18 |        100 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\utils\bin\tools\code.bin.dart                                           | Dart     |         50 |         19 |         16 |         85 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\utils\bin\tools\flutter.bin.dart                                        | Dart     |         74 |         26 |         19 |        119 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\utils\bin\tools\git.bin.dart                                            | Dart     |         66 |         17 |         17 |        100 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\utils\bin\tools\java.bin.dart                                           | Dart     |         66 |         19 |         17 |        102 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\utils\bin\tools\studio.bin.dart                                         | Dart     |         57 |         10 |         14 |         81 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\utils\bin\utils\projects.search.dart                                    | Dart     |        107 |         31 |         20 |        158 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\utils\bin\utils\search.dart                                             | Dart     |        149 |         40 |         53 |        242 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\utils\bin\utils\workflow.search.dart                                    | Dart     |        143 |         33 |         28 |        204 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\utils\check_new_version.dart                                            | Dart     |         55 |          7 |         14 |         76 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\utils\clear_old_logs.dart                                               | Dart     |         47 |          5 |         14 |         66 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\utils\extract_pubspec.dart                                              | Dart     |        182 |         25 |         33 |        240 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\utils\shared_pref.dart                                                  | Dart     |         11 |          1 |          2 |         14 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\utils\time_ago.dart                                                     | Dart     |         21 |          0 |          1 |         22 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\dialogs\documentation.dart                                        | Dart     |        129 |          5 |         15 |        149 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\dialogs\drive_error.dart                                          | Dart     |         47 |          2 |          4 |         53 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\dialogs\low_drive_storage.dart                                    | Dart     |         51 |          2 |          6 |         59 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\dialogs\notifications\notification_tile.dart                      | Dart     |         81 |          2 |          8 |         91 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\dialogs\notifications\notification_view.dart                      | Dart     |        106 |          6 |          6 |        118 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\dialogs\open_project.dart                                         | Dart     |        225 |         14 |         21 |        260 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\setup\components\button.dart                                      | Dart     |         75 |          2 |          6 |         83 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\setup\components\header.dart                                      | Dart     |         61 |          2 |          4 |         67 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\setup\components\header_title.dart                                | Dart     |         22 |          3 |          4 |         29 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\setup\components\loading_indicator.dart                           | Dart     |         19 |          2 |          3 |         24 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\setup\components\progress_indicator.dart                          | Dart     |         38 |          2 |          4 |         44 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\setup\components\tool_installed.dart                              | Dart     |         29 |          2 |          3 |         34 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\setup\components\windows_controls.dart                            | Dart     |         64 |          3 |          6 |         73 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\setup\screens\setup_view.dart                                     | Dart     |        329 |         15 |         26 |        370 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\setup\sections\get_started.dart                                   | Dart     |        170 |          8 |         14 |        192 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\setup\sections\install_editor.dart                                | Dart     |        237 |          3 |         11 |        251 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\setup\sections\install_flutter.dart                               | Dart     |         60 |          2 |          3 |         65 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\setup\sections\install_git.dart                                   | Dart     |         61 |          2 |          3 |         66 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\setup\sections\install_java.dart                                  | Dart     |        147 |          2 |          3 |        152 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\setup\sections\restart.dart                                       | Dart     |         98 |          3 |          4 |        105 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\tabs\components\bg_loading_indicator.dart                         | Dart     |         22 |          2 |          4 |         28 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\tabs\components\circle_chart.dart                                 | Dart     |        401 |         39 |         57 |        497 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\tabs\components\horizontal_axis.dart                              | Dart     |        159 |          2 |          8 |        169 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\tabs\home.dart                                                    | Dart     |        292 |         10 |         23 |        325 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\tabs\search\elements\package.dart                                 | Dart     |         73 |          2 |          6 |         81 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\tabs\search\elements\projects.dart                                | Dart     |         64 |          2 |          5 |         71 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\tabs\search\elements\workflows.dart                               | Dart     |        136 |          3 |          8 |        147 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\tabs\search\search.dart                                           | Dart     |        555 |         25 |         41 |        621 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\tabs\sections\home\elements\hover_info_tile.dart                  | Dart     |         53 |          1 |          7 |         61 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\tabs\sections\home\elements\setup_guide.dart                      | Dart     |        368 |          3 |         32 |        403 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\tabs\sections\home\elements\tool_error.dart                       | Dart     |         40 |          3 |          6 |         49 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\tabs\sections\home\home.dart                                      | Dart     |         48 |          2 |          4 |         54 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\tabs\sections\home\version_tiles\dart_version.dart                | Dart     |        253 |          7 |         23 |        283 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\tabs\sections\home\version_tiles\flutter_version.dart             | Dart     |        233 |          7 |         21 |        261 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\tabs\sections\home\version_tiles\git_version.dart                 | Dart     |        197 |          7 |         24 |        228 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\tabs\sections\home\version_tiles\java_version.dart                | Dart     |        235 |          7 |         23 |        265 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\tabs\sections\home\version_tiles\studio_version.dart              | Dart     |        191 |          7 |         21 |        219 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\tabs\sections\home\version_tiles\vsc_version.dart                 | Dart     |        188 |          7 |         21 |        216 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\tabs\sections\projects\dialogs\delete_project.dart                | Dart     |        198 |          6 |         21 |        225 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\tabs\sections\projects\dialogs\project_options.dart               | Dart     |        124 |          3 |          6 |        133 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\tabs\sections\projects\elements\project_tile.dart                 | Dart     |        164 |          2 |          8 |        174 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\tabs\sections\projects\elements\search_result_tile.dart           | Dart     |         57 |          2 |          5 |         64 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\tabs\sections\projects\models\projects.services.dart              | Dart     |        190 |         54 |         45 |        289 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\tabs\sections\projects\projects.dart                              | Dart     |        420 |         21 |         33 |        474 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\tabs\sections\pub\dialogs\package_info.dart                       | Dart     |        329 |         12 |         14 |        355 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\tabs\sections\pub\elements\pub_tile.dart                          | Dart     |        288 |          9 |          9 |        306 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\tabs\sections\pub\elements\search_result_tile.dart                | Dart     |        124 |          5 |         12 |        141 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\tabs\sections\pub\models\pkg_data.dart                            | Dart     |        155 |         23 |         38 |        216 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\tabs\sections\pub\pub.dart                                        | Dart     |        219 |         22 |         18 |        259 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\tabs\sections\workflows\elements\tile.dart                        | Dart     |        287 |          6 |         12 |        305 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\tabs\sections\workflows\models\workflows.services.dart            | Dart     |         81 |         28 |         17 |        126 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\tabs\sections\workflows\workflow.dart                             | Dart     |        300 |          9 |         24 |        333 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\workflows\action_settings\build_android.dart                      | Dart     |         71 |          2 |          5 |         78 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\workflows\action_settings\build_ios.dart                          | Dart     |         34 |          2 |          5 |         41 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\workflows\action_settings\build_linux.dart                        | Dart     |         34 |          2 |          5 |         41 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\workflows\action_settings\build_macos.dart                        | Dart     |         34 |          2 |          5 |         41 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\workflows\action_settings\build_web.dart                          | Dart     |         70 |          2 |          5 |         77 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\workflows\action_settings\build_windows.dart                      | Dart     |         34 |          2 |          5 |         41 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\workflows\action_settings\custom_commands.dart                    | Dart     |        194 |          4 |          9 |        207 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\workflows\action_settings\deploy_web.dart                         | Dart     |        361 |          6 |         21 |        388 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\workflows\actions.dart                                            | Dart     |         82 |          7 |          6 |         95 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\workflows\components\assign_timeout.dart                          | Dart     |         68 |          3 |          5 |         76 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\workflows\components\build_mode_selector.dart                     | Dart     |        101 |          3 |          7 |        111 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\workflows\components\input_hover.dart                             | Dart     |         64 |          2 |          7 |         73 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\workflows\models\workflow.dart                                    | Dart     |        161 |         33 |         11 |        205 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\workflows\runner\elements\action_scripts.dart                     | Dart     |         57 |         18 |          9 |         84 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\workflows\runner\elements\log_view_builder.dart                   | Dart     |         88 |          2 |         12 |        102 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\workflows\runner\elements\task_runner_view.dart                   | Dart     |        360 |         22 |         44 |        426 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\workflows\runner\logs.dart                                        | Dart     |         64 |          3 |         14 |         81 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\workflows\runner\models\write_log.dart                            | Dart     |         21 |          2 |          5 |         28 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\workflows\runner\runner.dart                                      | Dart     |        271 |          9 |         33 |        313 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\workflows\runner\status\error.dart                                | Dart     |        102 |          3 |          6 |        111 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\workflows\runner\status\startup.dart                              | Dart     |        104 |          3 |          6 |        113 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\workflows\runner\status\stopped.dart                              | Dart     |         84 |          3 |          6 |         93 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\workflows\runner\status\success.dart                              | Dart     |         79 |          4 |          7 |         90 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\workflows\sections\actions.dart                                   | Dart     |        252 |          5 |         14 |        271 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\workflows\sections\configure_actions.dart                         | Dart     |        318 |         10 |         25 |        353 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\workflows\sections\confirmation.dart                              | Dart     |         99 |          3 |          6 |        108 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\workflows\sections\info.dart                                      | Dart     |        471 |          9 |         35 |        515 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\workflows\sections\reorder_actions.dart                           | Dart     |        416 |         20 |         56 |        492 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\workflows\startup.dart                                            | Dart     |        753 |         57 |         84 |        894 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\workflows\views\delete.dart                                       | Dart     |        166 |          7 |         14 |        187 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\workflows\views\existing.dart                                     | Dart     |        296 |          6 |         29 |        331 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\workflows\views\logs.dart                                         | Dart     |        304 |          7 |         41 |        352 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\workflows\views\options.dart                                      | Dart     |        220 |          3 |         15 |        238 |
| c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib\meta\views\workflows\views\preview.dart                                      | Dart     |        192 |          2 |         14 |        208 |
| Total                                                                                                                                               |          |     27,428 |      2,108 |      3,206 |     32,742 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
